RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
15171,CANDIDATE,0.05,1.25,0.35,0.4,0.6,0.4,0.6,0.05,200,100,50,300,8,10,30,60,15,1.4,-0.02,3.77,0.95,1.83,140.0,1,6,1,1.0,1.0,47965.915,REJECTED_STOP_MAX_LEVELS
4168,CANDIDATE,0.05,1.18,0.3,0.35,0.65,0.1,0.9,0.0,70,200,100,250,10,5,30,60,30,3.14,-0.06,10.76,2.51,3.41,130.0,0,3,1,1.0,1.3333,32227.38,REJECTED_COMPRESSION
6356,CANDIDATE,0.05,1.18,0.35,0.4,0.6,0.25,0.75,0.05,200,150,100,300,8,3,30,60,20,2.23,-0.2,6.42,0.57,1.13,140.0,0,6,1,0.8,1.0,7433.645,REJECTED_RECOVERY_LOSS
12152,CANDIDATE,0.05,1.1,0.3,0.35,0.65,0.25,0.75,0.0,200,200,50,300,10,5,30,50,30,2.0,-0.21,4.16,2.1,3.88,130.0,0,5,2,1.0,1.0,5736.02,REJECTED_RECOVERY_LOSS
24472,CANDIDATE,0.05,1.05,0.3,0.5,0.5,0.25,0.75,0.07,100,200,100,300,10,5,30,70,15,1.56,-0.2,2.54,3.5,5.44,120.0,0,4,3,1.0,1.0,3989.98,REJECTED_RECOVERY_LOSS
11854,CANDIDATE,0.1,1.15,0.35,0.3,0.7,0.15,0.85,0.0,150,70,75,300,10,7,30,50,30,6.53,-1.09,12.59,2.87,3.86,250.0,0,6,1,1.0,1.0,3751.035,REJECTED_RECOVERY_LOSS
2188,CANDIDATE,0.05,1.2,0.35,0.4,0.6,0.1,0.9,0.03,150,70,75,250,6,5,30,70,15,1.1,-0.16,2.45,1.23,1.95,140.0,1,5,2,1.0,1.0,3355.33,REJECTED_STOP_MAX_LEVELS
9364,CANDIDATE,0.05,1.15,0.35,0.45,0.55,0.1,0.9,0.07,100,70,75,250,10,5,30,60,20,1.06,-0.16,3.01,1.18,1.8,140.0,1,5,2,1.0,1.0,3181.825,REJECTED_STOP_MAX_LEVELS
2068,CANDIDATE,0.05,1.18,0.35,0.45,0.55,0.1,0.9,0.03,70,150,50,250,8,3,30,50,30,1.14,-0.12,6.5,1.05,1.68,140.0,0,4,3,1.0,1.0,2777.625,REJECTED_RECOVERY_LOSS
17120,CANDIDATE,0.05,1.1,0.35,0.5,0.5,0.2,0.8,0.1,70,150,100,300,8,7,30,70,15,1.04,-0.2,5.78,0.41,0.73,140.0,1,6,1,1.0,1.0,2745.91,REJECTED_STOP_MAX_LEVELS
11127,CANDIDATE,0.05,1.18,0.35,0.4,0.6,0.4,0.6,0.1,200,100,100,300,8,3,30,50,30,1.13,-0.2,2.98,0.71,1.13,140.0,0,4,3,1.0,1.0,2528.805,REJECTED_RECOVERY_LOSS
2633,CANDIDATE,0.1,1.1,0.35,0.3,0.7,0.25,0.75,0.05,70,100,100,300,10,7,30,60,15,3.85,0.06,9.25,2.81,3.86,250.0,0,6,1,1.0,1.0,2118.035,REJECTED_RECOVERY_LOSS
18268,BALANCED,0.05,1.15,0.35,0.35,0.65,0.25,0.75,0.05,70,200,75,300,8,7,30,50,15,2.8,0.73,7.77,0.54,0.94,140.0,0,7,0,1.0,1.0,2036.63,ACCEPT
6164,CANDIDATE,0.05,1.15,0.35,0.4,0.6,0.25,0.75,0.0,100,150,100,250,10,5,30,70,30,3.3,0.86,8.67,0.73,1.21,140.0,0,6,1,1.0,1.0,1874.065,REJECTED_RECOVERY_LOSS
14396,CANDIDATE,0.1,1.25,0.35,0.4,0.6,0.2,0.8,0.1,100,100,50,300,10,7,30,70,15,3.43,0.51,6.85,2.17,3.15,270.0,0,6,1,1.0,1.0,1820.64,REJECTED_RECOVERY_LOSS
7143,CANDIDATE,0.05,1.18,0.35,0.5,0.5,0.4,0.6,0.07,200,200,75,250,7,3,30,60,30,1.02,-0.12,2.74,1.05,1.68,140.0,0,3,4,1.0,1.0,1800.0,REJECTED_RECOVERY_LOSS
7406,CANDIDATE,0.05,1.12,0.35,0.35,0.65,0.25,0.75,0.03,150,150,75,250,7,5,30,60,15,2.19,0.07,4.96,0.25,0.59,140.0,0,7,0,1.0,1.0,1649.605,ACCEPT
10667,SAFE,0.05,1.1,0.35,0.3,0.7,0.15,0.85,0.1,200,150,75,300,9,5,30,50,15,2.04,0.3,4.72,0.12,0.45,140.0,0,7,0,1.0,1.0,1584.65,ACCEPT
13564,CANDIDATE,0.05,1.12,0.35,0.35,0.65,0.2,0.8,0.05,150,200,50,250,9,5,30,50,30,2.09,0.07,5.33,0.31,0.6,140.0,0,7,0,1.0,1.0,1568.055,ACCEPT
13471,CANDIDATE,0.05,1.1,0.35,0.35,0.65,0.2,0.8,0.1,200,200,25,300,7,7,30,60,20,2.02,0.3,4.25,0.19,0.47,140.0,0,7,0,1.0,1.0,1559.975,ACCEPT
844,CANDIDATE,0.05,1.12,0.35,0.3,0.7,0.1,0.9,0.05,100,150,100,300,9,3,40,60,15,1.64,-0.61,3.64,0.51,0.87,140.0,0,6,1,0.8,0.8,1500.955,REJECTED_RECOVERY_LOSS
6551,CANDIDATE,0.05,1.12,0.35,0.45,0.55,0.2,0.8,0.05,70,200,100,300,10,7,40,50,30,2.0,0.12,7.08,1.29,1.71,140.0,0,7,0,1.0,1.0,1383.935,ACCEPT
8243,CANDIDATE,0.05,1.15,0.35,0.35,0.65,0.2,0.8,0.07,150,150,75,300,6,7,30,70,15,1.89,0.81,4.35,0.73,1.06,140.0,0,7,0,1.0,1.0,1340.855,ACCEPT
23075,CANDIDATE,0.05,1.1,0.35,0.3,0.7,0.1,0.9,0.1,70,200,25,300,7,3,30,70,25,2.27,1.03,4.25,0.19,0.47,140.0,0,6,1,0.8,0.8,1265.275,REJECTED_RECOVERY_LOSS
18295,CANDIDATE,0.05,1.1,0.35,0.3,0.7,0.3,0.7,0.1,100,150,100,250,7,10,30,50,25,1.75,0.07,4.94,0.3,1.11,140.0,0,7,0,1.0,1.0,1235.49,ACCEPT
20129,CANDIDATE,0.05,1.12,0.35,0.35,0.65,0.25,0.75,0.0,200,100,75,300,10,3,40,50,25,2.19,-0.61,5.28,0.9,1.23,140.0,0,4,3,0.8,0.8,1136.96,REJECTED_RECOVERY_LOSS
6835,CANDIDATE,0.05,1.2,0.35,0.4,0.6,0.1,0.9,0.03,70,100,50,250,10,10,30,50,30,1.64,0.26,6.32,1.11,1.95,140.0,0,7,0,1.0,1.0,1120.9,ACCEPT
