TestID,RunGroup,CandidateStatus,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,GeometryMode,ATRPeriod,ATRTimeframe,ATRInitialMultiplier,ATRBigStartMultiplier,ATRStepMultiplier,ATRFarMultiplier,MaxHarvestLevels,MaxReverseCycles,MinProjectedReserveCoverage,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,MaxManagedPositions,FullCycleCompleted,BigLevelsUsed,BigPositionsOpened,SmallPositionsOpened,FarPositionsOpened,MaxBigLevel,RecoveryPL,ReserveCoverage,RemainingFarLot,MaxFarLot,MaxBigLot,MaxSmallLot,MaxOpenPositions,DrawdownProxy,MarginProxy,CycleDurationBarsProxy,FinalState,EndReason,Score,Rank
1,MT5_L1_INVALIDATED_PROFILE,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.11,0.25,0.4,0.6,0.75,0.25,0.05,190,250,40,180,0,14,0,1.0,1.0,0.4,1.3,20,20,1.0,40.0,60.0,25.0,8,NO,11,11,11,1,11,-1.0,1.07337354,0.22,1.0,1.11,0.28,3,392.09655172,2.39,110,END_OF_TEST,MT5_REPLAY_REACHED_BIG_L11_ONTESTER_MINUS_1_END_OF_TEST,-4754068.140816,550
2,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,180,0,14,0,1.0,1.0,0.4,1.3,16,20,1.0,40.0,60.0,25.0,8,YES,6,6,6,1,6,18.75348014,1.35815437,0.17,1.0,1.1,0.28,3,391.09655172,2.38,36,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,300331.7844004,514
3,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,220,0,14,0,1.0,1.0,0.4,1.3,20,20,1.0,40.0,60.0,25.0,8,YES,6,6,6,1,6,18.75348014,1.35815437,0.17,1.0,1.1,0.28,3,391.09655172,2.38,36,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,300331.7844004,515
4,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,275,0,14,0,1.0,1.0,0.4,1.3,8,20,1.0,40.0,60.0,25.0,8,YES,6,6,6,1,6,14.42805223,1.25353188,0.18,1.0,1.1,0.28,3,391.09655172,2.38,36,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,299436.2188763,518
5,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,350,0,14,0,1.0,1.0,0.4,1.3,12,20,1.0,40.0,60.0,25.0,8,YES,7,7,7,1,7,22.51667035,1.34981855,0.17,1.0,1.1,0.28,3,391.09655172,2.38,42,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,190365.2483925,545
6,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,180,0,14,0,1.0,1.0,0.4,1.3,16,20,1.0,40.0,60.0,25.0,8,YES,5,5,5,1,5,1.11089483,1.01604299,0.21,1.0,1.1,0.28,3,391.09655172,2.38,30,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,406784.3028573,428
7,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,220,0,14,0,1.0,1.0,0.4,1.3,20,20,1.0,40.0,60.0,25.0,8,YES,5,5,5,1,5,1.11089483,1.01604299,0.21,1.0,1.1,0.28,3,391.09655172,2.38,30,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,406784.3028573,429
8,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,275,0,14,0,1.0,1.0,0.4,1.3,8,20,1.0,40.0,60.0,25.0,8,YES,6,6,6,1,6,29.32056167,1.56530163,0.14,1.0,1.1,0.28,3,391.09655172,2.38,36,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,302941.0288457,504
9,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,350,0,14,0,1.0,1.0,0.4,1.3,12,20,1.0,40.0,60.0,25.0,8,YES,6,6,6,1,6,11.93465012,1.15274977,0.19,1.0,1.1,0.28,3,391.09655172,2.38,36,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,298560.8938002,520
10,ROUND1_GLOBAL_300,MT5_CANDIDATE_NOT_CONFIRMED,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,80,180,0,14,0,1.0,1.0,0.4,1.3,16,20,1.0,40.0,60.0,25.0,8,YES,5,5,5,1,5,10.8699294,1.16181465,0.18,1.0,1.1,0.28,3,391.09655172,2.38,35,STATE_CLOSED_PROFIT,STATE_CLOSED_PROFIT,409354.779033,416
