TestID,RunGroup,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,GeometryMode,ATRPeriod,ATRTimeframe,InitialMultiplier,ATRBigStartMultiplier,ATRStepMultiplier,ATRFarMultiplier,MaxHarvestLevels,FullCycleCompleted,LevelsUsed,TotalPositionsOpened,TotalPositionsClosed,RecoveryPL,ReserveCoverage,TotalClosedFarLot,RemainingFarLot,MaxFarLot,MaxBigLot,MaxSmallLot,MaxOpenPositions,FinalState,StopReason,Score,Rank
1,BASELINE,1.0,1.14,0.36,0.4,0.6,0.9,0.1,0.05,190,190,75,275,0,14,0,1.0,1.0,0.4,1.3,20,YES,5,12,17,12.85515628,1.79383232,0.94,0.06,1.0,1.14,0.42,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-462806.0652052,277
2,MT5_INVALIDATED_PROFILE,1.0,1.11,0.25,0.4,0.6,0.75,0.25,0.05,190,250,40,180,0,14,0,1.0,1.0,0.4,1.3,20,NO,11,10,14,-1.0,1.81175806,0.84,0.16,1.0,1.11,0.28,3,END_OF_TEST,MT5_CALIBRATION_MATCH_REACHED_BIG_L11_ONTESTER_MINUS_1,-3507939.824194,370
3,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,6,14,20,31.94133772,1.69615644,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-578120.9709788,358
4,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,6,14,20,31.94133772,1.69615644,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-578120.9709788,359
5,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,6,14,20,31.94133772,1.69615644,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-578120.9709788,360
6,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,40,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,6,14,20,31.94133772,1.69615644,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-578120.9709788,361
7,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,5,12,17,24.83224837,1.48424496,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469213.2530203,330
8,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,5,12,17,24.83224837,1.48424496,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469213.2530203,331
9,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,5,12,17,24.83224837,1.48424496,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469213.2530203,332
10,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,60,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,5,12,17,24.83224837,1.48424496,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469213.2530203,333
11,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,80,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,1.65801581,1.02457261,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-362490.9625809,257
12,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,80,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,1.65801581,1.02457261,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-362490.9625809,258
13,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,80,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,1.65801581,1.02457261,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-362490.9625809,259
14,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,80,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,1.65801581,1.02457261,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-362490.9625809,260
15,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,100,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,22.10933376,1.43114636,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359245.7920264,245
16,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,100,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,22.10933376,1.43114636,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359245.7920264,246
17,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,100,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,22.10933376,1.43114636,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359245.7920264,247
18,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,120,100,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,22.10933376,1.43114636,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359245.7920264,248
19,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,40,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,5,12,17,23.44702499,1.4572322,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469229.8065301,334
20,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,40,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,5,12,17,23.44702499,1.4572322,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469229.8065301,335
21,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,40,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,5,12,17,23.44702499,1.4572322,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469229.8065301,336
22,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,40,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,5,12,17,23.44702499,1.4572322,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-469229.8065301,337
23,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,60,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,5.06996397,1.07827017,0.76,0.24,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-361951.4733433,253
24,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,60,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,5.06996397,1.07827017,0.76,0.24,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-361951.4733433,254
25,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,60,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,5.06996397,1.07827017,0.76,0.24,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-361951.4733433,255
26,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,60,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,5.06996397,1.07827017,0.76,0.24,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-361951.4733433,256
27,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,80,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,23.67110524,1.46160191,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359227.1287566,241
28,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,80,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,23.67110524,1.46160191,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359227.1287566,242
29,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,80,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,23.67110524,1.46160191,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359227.1287566,243
30,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,80,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,23.67110524,1.46160191,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-359227.1287566,244
31,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,100,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,37.87570329,1.935561,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-357037.6868671,209
32,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,100,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,37.87570329,1.935561,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-357037.6868671,210
33,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,100,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,37.87570329,1.935561,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-357037.6868671,211
34,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,160,100,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,37.87570329,1.935561,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-357037.6868671,212
35,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,40,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,11.71052186,1.1972224,0.78,0.22,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-360873.1725414,249
36,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,40,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,11.71052186,1.1972224,0.78,0.22,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-360873.1725414,250
37,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,40,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,11.71052186,1.1972224,0.78,0.22,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-360873.1725414,251
38,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,40,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,11.71052186,1.1972224,0.78,0.22,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-360873.1725414,252
39,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,60,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,26.66884442,1.54895198,0.82,0.18,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358688.4163578,237
40,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,60,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,26.66884442,1.54895198,0.82,0.18,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358688.4163578,238
41,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,60,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,26.66884442,1.54895198,0.82,0.18,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358688.4163578,239
