TestID,RunGroup,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,GeometryMode,ATRPeriod,ATRTimeframe,InitialMultiplier,ATRBigStartMultiplier,ATRStepMultiplier,ATRFarMultiplier,MaxHarvestLevels,FullCycleCompleted,LevelsUsed,TotalPositionsOpened,TotalPositionsClosed,RecoveryPL,ReserveCoverage,TotalClosedFarLot,RemainingFarLot,MaxFarLot,MaxBigLot,MaxSmallLot,MaxOpenPositions,FinalState,StopReason,Score,Rank
1,BASELINE,1.0,1.14,0.36,0.4,0.6,0.9,0.1,0.05,190,190,75,275,0,14,0,1.0,1.0,0.4,1.3,20,YES,3,8,11,15.97,2.16145455,0.95,0.05,1.0,1.14,0.42,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66261.845455,80
2,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,40,180,0,14,0,1.0,1.0,0.4,1.3,20,YES,3,8,11,47.4,3.19444444,0.88,0.12,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66683.444444,71
3,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,40,220,0,14,0,1.0,1.0,0.4,1.3,15,YES,3,8,11,34.88,1.83444976,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66422.244976,77
4,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,40,275,0,14,0,1.0,1.0,0.4,1.3,18,YES,3,8,11,1.5,1.01818182,0.7,0.3,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66006.818182,84
5,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,40,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,23.36,1.2567033,0.74,0.26,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,55249.27033,88
6,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,60,180,0,14,0,1.0,1.0,0.4,1.3,15,YES,2,6,8,8.46,1.17407407,0.73,0.27,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,77092.007407,54
7,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,60,220,0,14,0,1.0,1.0,0.4,1.3,18,YES,3,8,11,48.9,2.48181818,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66627.181818,72
8,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,60,275,0,14,0,1.0,1.0,0.4,1.3,20,YES,3,8,11,21.79,1.31694545,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66239.594545,81
9,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,60,350,0,14,0,1.0,1.0,0.4,1.3,15,YES,4,10,14,58.42,1.87849624,0.81,0.19,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,55662.049624,87
10,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,75,180,0,14,0,1.0,1.0,0.4,1.3,18,YES,2,6,8,16.155,1.37395833,0.76,0.24,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,77188.945833,51
11,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,75,220,0,14,0,1.0,1.0,0.4,1.3,20,YES,3,8,11,60.535,3.50144628,0.89,0.11,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66845.494628,64
12,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,75,275,0,14,0,1.0,1.0,0.4,1.3,15,YES,3,8,11,40.175,1.73045455,0.8,0.2,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,66464.795455,76
13,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.7,0.3,0.05,190,120,75,350,0,14,0,1.0,1.0,0.4,1.3,18,YES,4,10,14,79.8,2.52,0.85,0.15,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,55940.0,85
