GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,FarLot,ReserveCatchUpRatio,RecoverySlope,PointSweep,TargetNewFar,NextBigGross
2026-07-21T20:25:38.761364+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,1,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.01,2.3400000000000003,0.016,True,0.001,0.0028
2026-07-21T20:25:38.764173+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,1,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.01,2.3400000000000003,0.016,True,0.001,0.0028
2026-07-21T20:25:38.767376+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,2,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.01,0.027999999999999997
2026-07-21T20:25:38.770626+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,2,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.01,0.027999999999999997
2026-07-21T20:25:38.773711+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,3,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,1.8,0.1,True,0.0,0.0
2026-07-21T20:25:38.776626+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,3,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,1.8,0.1,True,0.0,0.0
2026-07-21T20:25:38.780920+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,4,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.15,0.42
2026-07-21T20:25:38.784327+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,4,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.15,0.42
2026-07-21T20:25:38.788317+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,5,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.01,0.027999999999999997
2026-07-21T20:25:38.791947+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,5,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.01,0.027999999999999997
2026-07-21T20:25:38.798958+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,6,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6000000000000001,1.6800000000000002
2026-07-21T20:25:38.802324+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,6,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6000000000000001,1.6800000000000002
2026-07-21T20:25:38.819126+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,7,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.823612+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,7,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.829589+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,8,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.832716+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,8,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.836274+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,9,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.01,0.0,-0.01,False,0.0,0.0
2026-07-21T20:25:38.839456+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,9,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.01,0.0,-0.01,False,0.0,0.0
2026-07-21T20:25:38.842761+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,10,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.001,0.0028
2026-07-21T20:25:38.845994+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,10,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.001,0.0028
2026-07-21T20:25:38.849725+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,11,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,2.34,0.16,True,0.03,0.084
2026-07-21T20:25:38.852735+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,11,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,2.34,0.16,True,0.03,0.084
2026-07-21T20:25:38.855924+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,12,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.1,0.27999999999999997
2026-07-21T20:25:38.859302+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,12,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.1,0.27999999999999997
2026-07-21T20:25:38.863106+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,13,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.001,0.0028
2026-07-21T20:25:38.866510+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,13,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.001,0.0028
2026-07-21T20:25:38.871245+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,14,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6,1.68
2026-07-21T20:25:38.876890+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,14,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6,1.68
2026-07-21T20:25:38.880166+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,15,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.883155+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,15,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.914724+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,16,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.917883+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,16,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.920907+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,17,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.01,1.8000000000000003,0.01,True,0.0,0.0
2026-07-21T20:25:38.923823+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,17,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.01,1.8000000000000003,0.01,True,0.0,0.0
2026-07-21T20:25:38.927077+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,18,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.05,1.8,0.05,True,0.0,0.0
2026-07-21T20:25:38.930187+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,18,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.05,1.8,0.05,True,0.0,0.0
2026-07-21T20:25:38.933433+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,19,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.1,2.34,0.16,True,0.001,0.0028
2026-07-21T20:25:38.936425+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,19,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.1,2.34,0.16,True,0.001,0.0028
2026-07-21T20:25:38.939791+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,20,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.15,0.42
2026-07-21T20:25:38.942817+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,20,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.15,0.42
2026-07-21T20:25:38.947841+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,21,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.1,0.27999999999999997
2026-07-21T20:25:38.954136+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,21,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,1,2.34,1.5999999999999996,True,0.1,0.27999999999999997
2026-07-21T20:25:38.965229+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,22,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6,1.68
2026-07-21T20:25:38.968227+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,22,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2,2.34,3.1999999999999993,True,0.6,1.68
2026-07-21T20:25:38.973023+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,23,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.976239+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,23,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,5,2.3400000000000003,8.0,True,1.5,4.2
2026-07-21T20:25:38.979588+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,24,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.982636+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,24,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,10,2.3400000000000003,16.0,True,3.0,8.4
2026-07-21T20:25:38.985897+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,25,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.01,2.3400000000000003,0.016,True,0.001,0.0028
2026-07-21T20:25:38.988732+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,25,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.01,2.3400000000000003,0.016,True,0.001,0.0028
2026-07-21T20:25:38.992288+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,26,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.01,0.027999999999999997
2026-07-21T20:25:38.995389+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,26,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,0.05,2.34,0.08,True,0.01,0.027999999999999997
2026-07-21T20:25:39.000543+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,27,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,1.8,0.1,True,0.0,0.0
2026-07-21T20:25:39.004222+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,27,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.1,1.8,0.1,True,0.0,0.0
2026-07-21T20:25:39.008637+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,28,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.5,2.34,0.7999999999999998,True,0.15,0.42
