GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,BigCoreCloseNet,BigTrendCloseNet,SmallBaseCloseNet,HarvestExecutionCosts,ActualHarvestNet,ReserveCredit,PartialFarBudgetAllocated,PartialFarBudgetUsed,PartialFarCarryAfter,UnallocatedRemainder,Residual
2026-07-21T20:26:03.894863+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,1,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,4.0,1.6,-0.4,1.858,3.341999999999999,3.007799999999999,0.33420000000000005,0.33420000000000005,0.0,0.0,0.0
2026-07-21T20:26:03.897217+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,1,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,4.0,1.6,-0.4,1.858,3.341999999999999,3.007799999999999,0.33420000000000005,0.33420000000000005,0.0,0.0,0.0
2026-07-21T20:26:03.900557+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,2,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,20.0,8.0,-2.0,11.3075,14.6925,13.22325,1.4692500000000006,1.4692500000000006,0.0,0.0,0.0
2026-07-21T20:26:03.903932+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,2,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,20.0,8.0,-2.0,11.3075,14.6925,13.22325,1.4692500000000006,1.4692500000000006,0.0,0.0,0.0
2026-07-21T20:26:03.907295+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,3,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,40.0,0.0,-0.0,26.950000000000003,13.049999999999997,11.744999999999997,1.3049999999999997,1.3049999999999997,0.0,0.0,0.0
2026-07-21T20:26:03.910270+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,3,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,40.0,0.0,-0.0,26.950000000000003,13.049999999999997,11.744999999999997,1.3049999999999997,1.3049999999999997,0.0,0.0,0.0
2026-07-21T20:26:03.916472+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,4,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,200.0,80.0,-20.0,209.5875,50.412499999999994,45.371249999999996,5.041249999999998,5.041249999999998,0.0,0.0,0.0
2026-07-21T20:26:03.919557+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,4,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,200.0,80.0,-20.0,209.5875,50.412499999999994,45.371249999999996,5.041249999999998,5.041249999999998,0.0,0.0,0.0
2026-07-21T20:26:03.922771+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,5,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,400.0,160.0,-40.0,256.36,263.64,237.27599999999998,26.364000000000004,26.364000000000004,0.0,0.0,0.0
2026-07-21T20:26:03.925613+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,5,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,400.0,160.0,-40.0,256.36,263.64,237.27599999999998,26.364000000000004,26.364000000000004,0.0,0.0,0.0
2026-07-21T20:26:03.931408+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,6,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,800.0,320.0,-80.0,713.25,326.75,294.075,32.67500000000001,32.67500000000001,0.0,0.0,0.0
2026-07-21T20:26:03.934312+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,6,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,800.0,320.0,-80.0,713.25,326.75,294.075,32.67500000000001,32.67500000000001,0.0,0.0,0.0
2026-07-21T20:26:03.949817+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,7,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2000.0,800.0,-200.0,1157.25,1442.75,1298.4750000000001,144.27499999999986,144.27499999999986,0.0,0.0,0.0
2026-07-21T20:26:03.952782+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,7,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,2000.0,800.0,-200.0,1157.25,1442.75,1298.4750000000001,144.27499999999986,144.27499999999986,0.0,0.0,0.0
2026-07-21T20:26:03.958508+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,8,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,4000.0,1600.0,-400.0,3506.75,1693.25,1523.925,169.32500000000005,169.32500000000005,0.0,0.0,0.0
2026-07-21T20:26:03.961670+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,8,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,4000.0,1600.0,-400.0,3506.75,1693.25,1523.925,169.32500000000005,169.32500000000005,0.0,0.0,0.0
2026-07-21T20:26:03.964729+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,9,FAR_BUY,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,SAFE_REJECTED,PASS,PASS,PASS,NO_SAFE_NEW_FAR,0.0,0.0,-0.0,1.46,-1.46,-1.314,-0.1459999999999999,-0.1459999999999999,0.0,0.0,0.0
