GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,Parameter,DeltaPercent,Value
2026-07-21T20:26:04.756476+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,1,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigCoreRatio,-10,1
2026-07-21T20:26:04.756482+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,2,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigCoreRatio,-5,1
2026-07-21T20:26:04.756485+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,3,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigCoreRatio,0,1
2026-07-21T20:26:04.756500+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,4,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigCoreRatio,5,1
2026-07-21T20:26:04.756504+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,5,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigCoreRatio,10,1
2026-07-21T20:26:04.756508+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,6,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigTrendRatio,-10,1
2026-07-21T20:26:04.756512+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,7,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigTrendRatio,-5,1
2026-07-21T20:26:04.756516+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,8,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigTrendRatio,0,1
2026-07-21T20:26:04.756519+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,9,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigTrendRatio,5,1
2026-07-21T20:26:04.756533+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,10,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BigTrendRatio,10,1
2026-07-21T20:26:04.756537+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,11,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,SmallBaseToFarRatio,-10,1
2026-07-21T20:26:04.756540+00:00,6f67297641b3ff80b8fca36552526717aabcd0fd,20260721,12,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,SmallBaseToFarRatio,-5,1
