Number,OldFar,TargetNewFar,ActualNewFar,CompressionPercent,OldRisk,NewRisk,NextBigGross,NextBigToOldFar,OldCycleGross,NextCycleGross,Cycles,Completed,Law3,RejectReason,LotStep,CostMultiplier
1,0.01,0.003,0.003,70.0,2.0,0.6,0.0084,0.84,0.04,0.012,3,PASS,PASS,PASS,0.001,1
2,0.05,0.015,0.01,80.0,10.0,2.0,0.028,0.56,0.20000000000000004,0.04,2,PASS,PASS,PASS,0.01,1
3,0.1,0.03,0.0,100.0,20.0,0.0,0.0,0.0,0.30000000000000004,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
4,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,7,PASS,PASS,PASS,0.001,1
5,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,5,PASS,PASS,PASS,0.01,1
6,2,0.6,0.6000000000000001,70.0,400.0,120.00000000000001,1.68,0.84,8.0,2.4000000000000004,4,FAIL,FAIL,MARGIN_GATE,0.1,1
7,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,9,FAIL,FAIL,MARGIN_GATE,0.001,1
8,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,7,FAIL,FAIL,MARGIN_GATE,0.01,1
9,0.01,0.003,0.0,100.0,2.0,0.0,0.0,0.0,0.01,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
10,0.05,0.015,0.015,70.0,10.0,3.0,0.042,0.84,0.20000000000000004,0.06,5,PASS,PASS,PASS,0.001,1
11,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,3,PASS,PASS,PASS,0.01,1
12,0.5,0.15,0.1,80.0,100.0,20.0,0.28,0.56,2.0,0.4,2,FAIL,FAIL,TRANSITION_LOSS,0.1,1
13,1,0.3,0.3,70.0,200.0,60.0,0.84,0.84,4.0,1.2,7,PASS,PASS,PASS,0.001,1
14,2,0.6,0.6,70.0,400.0,120.0,1.68,0.84,8.0,2.4,6,FAIL,FAIL,MARGIN_GATE,0.01,1
15,5,1.5,1.5,70.0,1000.0,300.0,4.2,0.84,20.0,6.0,5,FAIL,FAIL,MARGIN_GATE,0.1,1
16,10,3.0,3.0,70.0,2000.0,600.0,8.4,0.84,40.0,12.0,9,FAIL,FAIL,MARGIN_GATE,0.001,1
17,0.01,0.003,0.0,100.0,2.0,0.0,0.0,0.0,0.03,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.01,1
18,0.05,0.015,0.0,100.0,10.0,0.0,0.0,0.0,0.15000000000000002,0.0,0,FAIL,FAIL,INVALID_BROKER_VOLUME,0.1,1
19,0.1,0.03,0.03,70.0,20.0,6.0,0.084,0.84,0.4000000000000001,0.12,5,PASS,PASS,PASS,0.001,1
20,0.5,0.15,0.15,70.0,100.0,30.0,0.42,0.84,2.0,0.6,5,PASS,PASS,PASS,0.01,1
