Parameter,Value,Metric,MeanMetric,Samples
BigRatio,1.1,Big Levels,5.853659,41
BigRatio,1.12,Big Levels,5.77027,74
BigRatio,1.13,Big Levels,6.0,2
BigRatio,1.14,Big Levels,5.784483,116
BigRatio,1.15,Big Levels,5.575,120
BigRatio,1.16,Big Levels,5.654206,107
BigRatio,1.18,Big Levels,5.533333,30
SmallRatio,0.25,RecoveryPL,27.132353,34
SmallRatio,0.3,RecoveryPL,9.022727,44
SmallRatio,0.34,RecoveryPL,12.7,75
SmallRatio,0.35,RecoveryPL,2.75,2
SmallRatio,0.36,RecoveryPL,14.915672,134
SmallRatio,0.38,RecoveryPL,15.471429,126
SmallRatio,0.4,RecoveryPL,13.786667,75
CloseFarShare,0.4,Remaining Far Proxy,6.14,50
CloseFarShare,0.5,Remaining Far Proxy,5.942529,87
CloseFarShare,0.65,Remaining Far Proxy,5.770833,48
CloseFarShare,0.75,Remaining Far Proxy,5.91195,159
CloseFarShare,0.9,Remaining Far Proxy,5.130137,146
ReserveShare,0.1,ReserveCoverage,0.705897,146
ReserveShare,0.25,ReserveCoverage,0.858547,159
ReserveShare,0.35,ReserveCoverage,0.983156,48
ReserveShare,0.5,ReserveCoverage,1.166534,87
ReserveShare,0.6,ReserveCoverage,1.27643,50
ATRPeriod,14,Geometry/Duration Proxy,69.253695,406
ATRPeriod,20,Geometry/Duration Proxy,71.833333,84
FarDistancePoints,225,Recovery Time,66.085106,47
FarDistancePoints,250,Recovery Time,67.073684,95
FarDistancePoints,275,Recovery Time,68.379147,211
FarDistancePoints,300,Recovery Time,73.711111,90
FarDistancePoints,325,Recovery Time,76.829787,47
