Parameter,CurrentValue,RecommendedValue,WorkingRange,Influence,Comment
StartLot,0.10,0.1,0.1,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigRatio,1.15,1.14,1.15–1.16–1.18,Сильное,Synthetic rank spread=52268.4; recommended preset anchor
SmallRatio,0.25,0.36,0.25–0.3–0.38,Сильное,Synthetic rank spread=55850.1; recommended preset anchor
CloseBigOnSmall,0.40,0.4,0.4,Низкое,Synthetic rank spread=0.0; recommended preset anchor
RemainBigOnSmall,0.60,0.6,0.6,Низкое,Synthetic rank spread=0.0; recommended preset anchor
CloseFarShare,0.20,0.75,0.65–0.75–0.9,Очень сильное,Synthetic rank spread=112514.5; recommended preset anchor
ReserveShare,0.80,0.25,0.1–0.25–0.35,Очень сильное,Synthetic rank spread=112514.5; recommended preset anchor
SmallReserveShare,0.05,0.05,0.05,Низкое,Synthetic rank spread=0.0; recommended preset anchor
UseRecommended5050Preset,false,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
InitialTriggerPoints,100,190,190,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigMoveStartPoints,100,200,190–200–210,Среднее,Synthetic rank spread=20584.0; recommended preset anchor
BigMoveStepPoints,50,75,75–80–90,Сильное,Synthetic rank spread=57001.9; recommended preset anchor
FarDistancePoints,200,275,225–250–275,Среднее,Synthetic rank spread=29001.8; recommended preset anchor
FarDistanceMode,REAL_PRICE_DISTANCE,3,3,Низкое,Synthetic rank spread=0.0; recommended preset anchor
GeometryMode,GEOMETRY_MANUAL,2,1–2–4,Среднее,Synthetic rank spread=12648.3; recommended preset anchor
ATRTimeframe,PERIOD_M30,0,0–30–60,Низкое,Synthetic rank spread=1066.8; recommended preset anchor
ATRPeriod,14,14,14–20,Низкое,Synthetic rank spread=1401.4; recommended preset anchor
ATRInitialMultiplier,1.00,1.0,1.0–1.05,Сильное,Synthetic rank spread=34122.0; recommended preset anchor
ATRBigStartMultiplier,1.00,1.15,1.0–1.1–1.15,Сильное,Synthetic rank spread=35567.7; recommended preset anchor
ATRStepMultiplier,0.40,0.4,0.35–0.4–0.45,Среднее,Synthetic rank spread=15329.7; recommended preset anchor
ATRFarMultiplier,1.30,1.5,1.3–1.45–1.5,Среднее,Synthetic rank spread=15568.3; recommended preset anchor
MinInitialTriggerPoints,100,100,100,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxInitialTriggerPoints,250,250,250,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinBigMoveStartPoints,100,100,100,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxBigMoveStartPoints,260,260,260,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinBigMoveStepPoints,50,50,50,Низкое,Synthetic rank spread=0.0; recommended preset anchor
