Parameter,BestValue,WorkingRange,Influence,Comment
StartLot,0.1,0.1,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigRatio,1.14,1.15–1.16–1.18,Сильное,Synthetic rank spread=46253.4; recommended preset anchor
SmallRatio,0.36,0.25–0.36–0.38,Сильное,Synthetic rank spread=63315.0; recommended preset anchor
CloseBigOnSmall,0.4,0.4,Низкое,Synthetic rank spread=0.0; recommended preset anchor
RemainBigOnSmall,0.6,0.6,Низкое,Synthetic rank spread=0.0; recommended preset anchor
CloseFarShare,0.75,0.65–0.75–0.9,Очень сильное,Synthetic rank spread=119535.5; recommended preset anchor
ReserveShare,0.25,0.1–0.25–0.35,Очень сильное,Synthetic rank spread=119535.5; recommended preset anchor
SmallReserveShare,0.05,0.05,Низкое,Synthetic rank spread=0.0; recommended preset anchor
UseRecommended5050Preset,false,false,Низкое,Synthetic rank spread=0.0; recommended preset anchor
InitialTriggerPoints,190,190,Низкое,Synthetic rank spread=0.0; recommended preset anchor
BigMoveStartPoints,200,190–210–220,Среднее,Synthetic rank spread=27887.9; recommended preset anchor
BigMoveStepPoints,75,70–80–90,Сильное,Synthetic rank spread=31145.9; recommended preset anchor
FarDistancePoints,275,225–250–275,Сильное,Synthetic rank spread=31364.4; recommended preset anchor
FarDistanceMode,3,3,Низкое,Synthetic rank spread=0.0; recommended preset anchor
GeometryMode,2,2–3–4,Среднее,Synthetic rank spread=21299.9; recommended preset anchor
ATRTimeframe,60,30–60,Низкое,Synthetic rank spread=1615.8; recommended preset anchor
ATRPeriod,20,14–20–21,Низкое,Synthetic rank spread=9792.6; recommended preset anchor
ATRInitialMultiplier,1.0,1.0–1.05,Сильное,Synthetic rank spread=33763.1; recommended preset anchor
ATRBigStartMultiplier,1.15,1.0–1.1–1.15,Сильное,Synthetic rank spread=35165.1; recommended preset anchor
ATRStepMultiplier,0.4,0.35–0.4–0.45,Среднее,Synthetic rank spread=14973.6; recommended preset anchor
ATRFarMultiplier,1.5,1.3–1.45–1.5,Среднее,Synthetic rank spread=15202.1; recommended preset anchor
MinInitialTriggerPoints,100,100,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxInitialTriggerPoints,250,250,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MinBigMoveStartPoints,100,100,Низкое,Synthetic rank spread=0.0; recommended preset anchor
MaxBigMoveStartPoints,260,260,Низкое,Synthetic rank spread=0.0; recommended preset anchor
