Level,PythonBigLot,MT5BigLot,PythonSmallLot,MT5SmallLot,PythonBigScenarioNet,MT5BigScenarioNet,PythonFarAfter,MT5FarAfter,PythonReserve,MT5Reserve,Diff
1,1.11,1.11,0.28,0.28,207.5,106.83,0.14,0.71,51.88,26.71,FIRST_MATERIAL_DIVERGENCE: Python overstates net/budget and predicts FINAL_CLOSE; MT5 opens BIG_L2
2,0.0,0.79,0.0,0.2,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
3,0.0,0.52,0.0,0.13,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
4,0.0,0.34,0.0,0.09,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
5,0.0,0.27,0.0,0.07,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
6,0.0,0.18,0.0,0.05,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
7,0.0,0.14,0.0,0.04,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
8,0.0,0.12,0.0,0.03,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
9,0.0,0.11,0.0,0.03,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
10,0.0,0.1,0.0,0.03,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
11,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.71,0.0,26.71,OLD_PYTHON_ALREADY_STOPPED; MT5_CONTINUED_LEVEL_SEQUENCE
