Source workbook: recovery_lock_cascade_next_step_documentation.xlsx
Sheets: 17

================================================================================
SHEET: README
================================================================================
Metric	Value
Исходный файл	recovery_lock_cascade_next_step.xlsx
Дата генерации	2026-05-12T11:07:50.764350
Количество листов	13
Количество ячеек с формулами	4338
Количество ручных вводимых ячеек	93
Количество автоматически генерируемых ячеек	4338
Назначение workbook	Расчёт следующего шага recovery lock cascade по сценариям UP/DOWN
Предупреждение	Документация создана автоматически из фактической структуры workbook.
Total formula cells detected	4338
Total formula cells documented	4338
Formula documentation completeness	100%

================================================================================
SHEET: Workbook_Sheets
================================================================================
SheetName	SheetIndex	Purpose	IsInputSheet	IsCalculationSheet	IsOutputSheet	DependsOnSheets	FeedsToSheets	ImportantCells	Notes
Settings	1	Параметры системы и риска	YES	NO	NO
CurrentPositions	2	Текущие позиции	YES	NO	NO
Scenario_UP	3	Сценарий роста	NO	YES	NO
Scenario_DOWN	4	Сценарий снижения	NO	YES	NO
SectionCalculator_UP	5	Секции UP	NO	YES	NO
SectionCalculator_DOWN	6	Секции DOWN	NO	YES	NO
TailRecovery_UP	7	Восстановление хвоста UP	NO	YES	NO
TailRecovery_DOWN	8	Восстановление хвоста DOWN	NO	YES	NO
BasketSummary	9	Итоговые решения	NO	NO	YES
Validation	10	Правила валидации	NO	NO	NO
Log	11	Журнал	NO	NO	YES
ScenarioText_UP	12	Текст рекомендаций UP	NO	YES	YES
ScenarioText_DOWN	13	Текст рекомендаций DOWN	NO	YES	YES

================================================================================
SHEET: Input_Output_Map
================================================================================
SheetName	Cell	FieldName	FieldType	InputOrGenerated	ValueExample	FormulaIfAny	Description	UserCanEdit	UsedBy	RiskIfWrong
Settings	A1	Field	VALUE	INPUT	Field		Manual field	YES		Wrong calculations
Settings	B1	Value	VALUE	INPUT	Value		Manual field	YES		Wrong calculations
Settings	A2	Symbol	VALUE	INPUT	Symbol		Manual field	YES		Wrong calculations
Settings	B2	EURUSD	VALUE	INPUT	EURUSD		Manual field	YES		Wrong calculations
Settings	A3	Point	VALUE	INPUT	Point		Manual field	YES		Wrong calculations
Settings	B3	0.0001	VALUE	INPUT	0.0001		Manual field	YES		Wrong calculations
Settings	A4	PointValuePerLot	VALUE	INPUT	PointValuePerLot		Manual field	YES		Wrong calculations
Settings	B4	1	VALUE	INPUT	1		Manual field	YES		Wrong calculations
Settings	A5	StepPoints	VALUE	INPUT	StepPoints		Manual field	YES		Wrong calculations
Settings	B5	100	VALUE	INPUT	100		Manual field	YES		Wrong calculations
Settings	A6	MinLot	VALUE	INPUT	MinLot		Manual field	YES		Wrong calculations
Settings	B6	0.01	VALUE	INPUT	0.01		Manual field	YES		Wrong calculations
Settings	A7	LotStep	VALUE	INPUT	LotStep		Manual field	YES		Wrong calculations
Settings	B7	0.01	VALUE	INPUT	0.01		Manual field	YES		Wrong calculations
Settings	A8	MaxActiveSections	VALUE	INPUT	MaxActiveSections		Manual field	YES		Wrong calculations
Settings	B8	4	VALUE	INPUT	4		Manual field	YES		Wrong calculations
Settings	A9	ReservePercent	VALUE	INPUT	ReservePercent		Manual field	YES		Wrong calculations
Settings	B9	0.2	VALUE	INPUT	0.2		Manual field	YES		Wrong calculations
Settings	A10	RecoveryPercent	VALUE	INPUT	RecoveryPercent		Manual field	YES		Wrong calculations
Settings	B10	0.8	VALUE	INPUT	0.8		Manual field	YES		Wrong calculations
Settings	A11	BasketTarget	VALUE	INPUT	BasketTarget		Manual field	YES		Wrong calculations
Settings	B11	0	VALUE	INPUT	0		Manual field	YES		Wrong calculations
Settings	A12	MaxSpreadPoints	VALUE	INPUT	MaxSpreadPoints		Manual field	YES		Wrong calculations
Settings	B12	20	VALUE	INPUT	20		Manual field	YES		Wrong calculations
Settings	A13	CommissionPerLot	VALUE	INPUT	CommissionPerLot		Manual field	YES		Wrong calculations
Settings	B13	0	VALUE	INPUT	0		Manual field	YES		Wrong calculations
Settings	A14	SwapPerLot	VALUE	INPUT	SwapPerLot		Manual field	YES		Wrong calculations
Settings	B14	0	VALUE	INPUT	0		Manual field	YES		Wrong calculations
Settings	A15	MaxTotalLot	VALUE	INPUT	MaxTotalLot		Manual field	YES		Wrong calculations
Settings	B15	20	VALUE	INPUT	20		Manual field	YES		Wrong calculations
Settings	A16	MaxNetLot	VALUE	INPUT	MaxNetLot		Manual field	YES		Wrong calculations
Settings	B16	10	VALUE	INPUT	10		Manual field	YES		Wrong calculations
